folder,name,k_anonymity,k_neighbors,cat_gen_method,num_gen_method,target_gen_method,scaler_method,num_weight,cat_weight,distance_profile,distance_mode,num_distance_metric,cat_distance_metric,minkowski_p,random_state,runtime_sec,peak_memory_mb,n_suppressed,tvd_pass_rate,ks_pass_rate,mean_tvd,mean_ks,mean_corr_drift,f1_baseline,f1_synthetic,exact_match_rate,overall_pass,composite_score,rank,target_cols,utility_pass_rate
040_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-euclidean_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/euclidean/gower/balanced,3,3,mode,weighted_mean,mode,standard,2.0,2.0,balanced,gower,euclidean,hamming,3,42,55.068,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.040518554714384,120,,
046_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-euclidean_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/euclidean/gower/balanced,3,3,mode,weighted_mean,mode,standard,1.0,2.0,balanced,gower,euclidean,overlap,3,42,55.074,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.040458554714384,121,,
056_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-manhattan_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/manhattan/gower/balanced,3,3,mode,weighted_mean,mode,standard,2.0,2.0,balanced,gower,manhattan,jaccard,3,42,55.092,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.0402785547143836,122,,
044_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-euclidean_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/euclidean/gower/balanced,3,3,mode,weighted_mean,mode,standard,2.0,2.0,balanced,gower,euclidean,jaccard,3,42,55.256,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.0386385547143835,123,,
068_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-minkowski_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/minkowski/gower/balanced,3,3,mode,weighted_mean,mode,standard,2.0,2.0,balanced,gower,minkowski,jaccard,3,42,55.34,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.0377985547143838,124,,
054_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-manhattan_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/manhattan/gower/balanced,3,3,mode,weighted_mean,mode,standard,1.0,2.0,balanced,gower,manhattan,jaccard,3,42,55.393,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.037268554714384,125,,
061_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-minkowski_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/minkowski/gower/balanced,3,3,mode,weighted_mean,mode,standard,1.0,1.0,balanced,gower,minkowski,hamming,3,42,55.456,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.0366385547143837,126,,
062_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-minkowski_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/minkowski/gower/balanced,3,3,mode,weighted_mean,mode,standard,1.0,2.0,balanced,gower,minkowski,hamming,3,42,55.586,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.0353385547143836,127,,
051_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-manhattan_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/manhattan/gower/balanced,3,3,mode,weighted_mean,mode,standard,2.0,1.0,balanced,gower,manhattan,hamming,3,42,55.604,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.035158554714384,128,,
047_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-euclidean_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/euclidean/gower/balanced,3,3,mode,weighted_mean,mode,standard,2.0,1.0,balanced,gower,euclidean,overlap,3,42,55.629,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.0349085547143835,129,,
048_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-euclidean_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/euclidean/gower/balanced,3,3,mode,weighted_mean,mode,standard,2.0,2.0,balanced,gower,euclidean,overlap,3,42,55.764,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.0335585547143835,130,,
042_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-euclidean_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/euclidean/gower/balanced,3,3,mode,weighted_mean,mode,standard,1.0,2.0,balanced,gower,euclidean,jaccard,3,42,55.875,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.032448554714384,131,,
058_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-manhattan_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/manhattan/gower/balanced,3,3,mode,weighted_mean,mode,standard,1.0,2.0,balanced,gower,manhattan,overlap,3,42,55.952,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.0316785547143836,132,,
060_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-manhattan_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/manhattan/gower/balanced,3,3,mode,weighted_mean,mode,standard,2.0,2.0,balanced,gower,manhattan,overlap,3,42,56.143,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.0297685547143836,133,,
050_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-manhattan_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/manhattan/gower/balanced,3,3,mode,weighted_mean,mode,standard,1.0,2.0,balanced,gower,manhattan,hamming,3,42,56.245,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.0287485547143835,134,,
093_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-manhattan-cat-overlap_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/manhattan/overlap/balanced,3,3,mode,weighted_mean,mode,minmax,1.0,1.0,balanced,weighted_sum,manhattan,overlap,3,42,58.641,2813.23,3179,1.0,0.875,0.001,0.029,0.014,0.2906,0.2231,0.0,False,2.0273119545767377,135,,
053_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-manhattan_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/manhattan/gower/balanced,3,3,mode,weighted_mean,mode,standard,1.0,1.0,balanced,gower,manhattan,jaccard,3,42,56.526,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.0259385547143838,136,,
037_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-euclidean_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/euclidean/gower/balanced,3,3,mode,weighted_mean,mode,standard,1.0,1.0,balanced,gower,euclidean,hamming,3,42,56.87,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.0224985547143834,137,,
